kandidat,parti,kommune,stemmer
Fie Smith,Venstre,Hørsholm Kommune,227
Mette Fink,Enhedslisten,Tårnby Kommune,227
Steen Bukdahl,Venstre,Aalborg Kommune,227
Lykke Palm,SF,Holbæk Kommune,227
Clara Christensen,Enhedslisten,Furesø Kommune,227
Camilla Silfverberg,Liberal Alliance,Svendborg Kommune,227
Louise Irgens,Venstre,Solrød Kommune,227
Inger Johansson,SF,Aalborg Kommune,227
Rasmus Viereck,Konservative,Faaborg-Midtfyn Kommune,226
Peder Fenger,Danmarksdemokraterne,Ikast-Brande Kommune,226
Kristian Abel Rasmussen,Danmarksdemokraterne,Brønderslev Kommune,226
Astrid Budolfsen,SF,Jammerbugt Kommune,226
Kasper Stisen,Socialdemokratiet,Københavns Kommune,226
Laura Mortensen,Venstre,Fredensborg Kommune,225
Lisbeth Wilstrup,Socialdemokratiet,Greve Kommune,225
Heino Salling,Enhedslisten,Kerteminde Kommune,225
Martin Hulgaard,Venstre,Struer Kommune,225
Kasper Ivanhoe Terkelsen,SF,Viborg Kommune,225
Kirsten Vad Knudsen,Radikale,Fredericia Kommune,224
Jan Therkelsen,Socialdemokratiet,Holstebro Kommune,224
Dorete Kallesøe,SF,Lemvig Kommune,224
Terkel Hansen,Venstre,Næstved Kommune,224
Jens Ove Bay,Enhedslisten,Vallensbæk Kommune,224
Tom Vang Knudsen,Socialdemokratiet,Gladsaxe Kommune,224
Rasmus Lind Bjerre,Liberal Alliance,Odder Kommune,224
Jesper Mølgaard Axelsen,Venstre,Sønderborg Kommune,224
Ergin Özer,Socialdemokratiet,Fredensborg Kommune,224
Bettina Jensen,Socialdemokratiet,Sorø Kommune,224
Ole Andersen,Socialdemokratiet,Brønderslev Kommune,224
Johnni Olesen,Venstre,Brønderslev Kommune,223
Jeppe Klenitz-Jakobsen,Socialdemokratiet,Holbæk Kommune,223
Henning Holm,Socialdemokratiet,Thisted Kommune,223
Lars Rem,Liberal Alliance,Vesthimmerlands Kommune,223
Margit Chemnitz,Venstre,Brønderslev Kommune,222
Peter Thomasen,Liberal Alliance,Odense Kommune,222
Maria Weisbjerg,Dansk Folkeparti,Faaborg-Midtfyn Kommune,222
Anne Grethe Hallum,Danmarksdemokraterne,Vejen Kommune,222
Derya Tamer,Socialdemokratiet,Holbæk Kommune,222
Peter Skau,Venstre,Haderslev Kommune,222
Karl Skovgaard,Venstre,Vejle Kommune,222
Susanne Hacke,L,Guldborgsund Kommune,222
Kent Lucassen,Danmarksdemokraterne,Holstebro Kommune,221
Thomas Stecher,Moderaterne,Vordingborg Kommune,221
Poul Poulsen,Radikale,Assens Kommune,221
Simone Vestergaard Laursen,Venstre,Skive Kommune,221
Michael Kjeldgaard,Socialdemokratiet,Odsherred Kommune,220
Ellen H. Thomsen,Dansk Folkeparti,Sorø Kommune,220
Ove Sidding Nielsen,Liberal Alliance,Varde Kommune,220
Peter Nielsen,Liberal Alliance,Kalundborg Kommune,220
Anita Vivi Lilholt,Venstre,Aalborg Kommune,220
Emma Holm,Konservative,Guldborgsund Kommune,220
Cassandra James,Alternativet,Svendborg Kommune,220
Dennis Roland Pedersen,Radikale,Egedal Kommune,220
Luise Hjortebjerg,Venstre,Gentofte Kommune,220
Åge Priisholm,Dansk Folkeparti,Faaborg-Midtfyn Kommune,220
Jan Møller Pedersen,Venstre,Vejen Kommune,219
Helle Wilken Bovien,Enhedslisten,Egedal Kommune,219
Ann Chalotte Johansen,Socialdemokratiet,Nordfyns Kommune,219
Jesper Schmidt-Nielsen,Konservative,Kerteminde Kommune,219
Mette Vestenbæk,Socialdemokratiet,Jammerbugt Kommune,219
Gennadiy Torba,Venstre,Herning Kommune,219
Kim Fussing,Venstre,Greve Kommune,219
Casper Værndal,Liberal Alliance,Esbjerg Kommune,219
Grethe Lykke Knudsen,Socialdemokratiet,Vejle Kommune,219
Marthine Dahl,Radikale,Holbæk Kommune,219
Mie Handreck,Venstre,Furesø Kommune,219
Julie Juhler Østergaard,Socialdemokratiet,Haderslev Kommune,219
Svend Müller,Venstre,Kalundborg Kommune,218
Betina Møldrup Ringsted,Danmarksdemokraterne,Odense Kommune,218
Knud Vinther Hansen,Konservative,Helsingør Kommune,218
Per Langkilde Lauesen,Dansk Folkeparti,Viborg Kommune,218
Lene Søs Jonassen,Konservative,Næstved Kommune,218
Dan Gaardboe Rueskov,Liberal Alliance,Hjørring Kommune,217
Sinne Langballe,Radikale,Kolding Kommune,217
Klaus Sønderup Lorenzen,Socialdemokratiet,Billund Kommune,217
Marianne Bugge Zederkof,Konservative,Gentofte Kommune,217
Kasper Thomassen,Venstre,Silkeborg Kommune,217
Kasper Venning,SF,Viborg Kommune,217
Martin Ebmark,Venstre,Billund Kommune,217
Ida-Sofie Skjoldhøj Andersen,Enhedslisten,Svendborg Kommune,217
Anne-Marie Hemmeth,Alternativet,Aalborg Kommune,217
Naja Kallesøe,SF,Silkeborg Kommune,217
Henrik Rasmussen,L,Lolland Kommune,217
Käthe Lund,SF,Svendborg Kommune,216
Niels Vestergaard Salling,Venstre,Brønderslev Kommune,216
Michael Dorph Jensen,Enhedslisten,Gladsaxe Kommune,216
Mazlum Øz,Venstre,Ringsted Kommune,216
Edis Habibovic,Enhedslisten,Aalborg Kommune,216
Steen Boldsen,Konservative,Helsingør Kommune,216
Turan Akbulut,Konservative,Høje-Taastrup Kommune,216
Carl Emil Møgelvang Nielsen,Moderaterne,Helsingør Kommune,216
Charlotte Holst Høybye,SF,Jammerbugt Kommune,216
Nils Jul Gjerlev,Konservative,Albertslund Kommune,216
Vibeke Knudsen,Konservative,Helsingør Kommune,215
Zahra Mohamud Ali,Enhedslisten,Viborg Kommune,215
Mathias Rump Hansen,Dansk Folkeparti,Frederikshavn Kommune,215
Stine Rahbek Pedersen,Enhedslisten,Ballerup Kommune,215
Anastasia Kratschmer,Enhedslisten,Aarhus Kommune,215
Thomas Markmann,Radikale,Københavns Kommune,215
Mona Burgdorf Herskind,Socialdemokratiet,Herning Kommune,215
Allan Havsager,Venstre,Brønderslev Kommune,215
Jesper Clausson,Socialdemokratiet,Rødovre Kommune,215
Jesper Fini Kuhre,Venstre,Greve Kommune,215
Kirsten Gaulshøj,Dansk Folkeparti,Esbjerg Kommune,215
Egon Høst Greve,Konservative,Haderslev Kommune,214
Martin Søe-Jensen,Danmarksdemokraterne,Rebild Kommune,214
Susanne Utoft,Socialdemokratiet,Holbæk Kommune,214
Kresten Bjerre,Radikale,Odder Kommune,214
Malene Ringberg,Moderaterne,Skanderborg Kommune,214
Egon Nykjær,SF,Herning Kommune,214
Vivian Xinwei Guan,Konservative,Lyngby-Taarbæk Kommune,214
Svend Thue Damgaard,Socialdemokratiet,Silkeborg Kommune,214
Bo C. Christiansen,L,Solrød Kommune,214
Nynne Printz,SF,Langeland Kommune,214
Anastasia Berg,Liberal Alliance,Horsens Kommune,213
Eva Anker Lund,Socialdemokratiet,Holbæk Kommune,213
Katja Ivesøe,SF,Odder Kommune,213
Ole Stavad,Socialdemokratiet,Jammerbugt Kommune,213
Rune Dohrmann,Socialdemokratiet,Sønderborg Kommune,213
Jens Andersen,Venstre,Brønderslev Kommune,213
Jan Skræddergaard,Dansk Folkeparti,Kolding Kommune,213
Lasse Bjørn Møller,Socialdemokratiet,Holstebro Kommune,213
Niels Fjeldberg,SF,Mariagerfjord Kommune,213
Per Olsen,Dansk Folkeparti,Helsingør Kommune,213
Lisa Kronborg Sørensen,Venstre,Jammerbugt Kommune,213
Aage Rais,SF,Aarhus Kommune,212
Susanne Rikke Hougaard-Nielsen,Dansk Folkeparti,Middelfart Kommune,212
Maria Falk Røjsmose,Moderaterne,Odense Kommune,212
Marc Hvenegaard,Konservative,Næstved Kommune,212
Claus Bedemann,D,Ringsted Kommune,212
Folmer Toftdahl-Olesen,Venstre,Jammerbugt Kommune,212
Johannes Stougård,Venstre,Struer Kommune,212
Per Nygaard,Konservative,Ringsted Kommune,212
Nicklas Askerod,SF,Odense Kommune,211
Kristoffer Larsen,Dansk Folkeparti,Albertslund Kommune,211
Jonas Bonnerup,Konservative,Vejen Kommune,211
Bjarne F. Jensen,Dansk Folkeparti,Billund Kommune,211
Iben Sønderup,Socialdemokratiet,Aarhus Kommune,211
Michael Larsen,Socialdemokratiet,Vordingborg Kommune,211
Dennis Fridthjof,Socialdemokratiet,Guldborgsund Kommune,211
Claus Søgaard Andersen,Socialdemokratiet,Struer Kommune,211
Jacob Kampman,Liberal Alliance,Aarhus Kommune,211
Jørgen Suhr,Radikale,Hillerød Kommune,211
Karina Fromberg,Venstre,Vordingborg Kommune,211
Lars Bluhme,Socialdemokratiet,Odder Kommune,211
Anders Gerner Frost,G,Gribskov Kommune,211
Joan Holte Biering,SF,Fredensborg Kommune,210
Liv Lærke Nissen,Enhedslisten,Holbæk Kommune,210
Niklas Kjærulff,Danmarksdemokraterne,Rødovre Kommune,210
Annette Nyvang,T,Dragør Kommune,210
Glenn Holland,Venstre,Aalborg Kommune,210
Karsten Hjorth Larsen,Venstre,Struer Kommune,210
Sofie Nissen,Venstre,Sønderborg Kommune,210
René Spange,Danmarksdemokraterne,Helsingør Kommune,210
Magnus Rothmann,Kristendemokraterne,Aalborg Kommune,210
Jane Bengtsen,SF,Frederikshavn Kommune,210
Jannie Frimodt Kruse,SF,Nordfyns Kommune,210
Allan Østergaard,Radikale,Svendborg Kommune,209
Alexander Vasylyeva,Venstre,Esbjerg Kommune,209
Kim Lund,Danmarksdemokraterne,Middelfart Kommune,209
Peter Borup Sørensen,Socialdemokratiet,Lemvig Kommune,209
Troels Stru Schmidt,SF,Gladsaxe Kommune,209
Alex Bødiker,Socialdemokratiet,Haderslev Kommune,208
Christian Fini,Liberal Alliance,Vejle Kommune,208
Ulrich Kristensen,Venstre,Billund Kommune,208
Claus Corneliussen,Socialdemokratiet,Fredensborg Kommune,208
Resul Kücükakin,SF,Albertslund Kommune,208
Maja Albrechtsen,Socialdemokratiet,Aarhus Kommune,208
Bjarne Brath,Venstre,Rebild Kommune,208
Finn Ladegaard,Socialdemokratiet,Varde Kommune,208
Martin Kyvsgaard,SF,Rebild Kommune,208
Helle Madsen,Socialdemokratiet,Skive Kommune,208
Per Skovmose,Konservative,Thisted Kommune,208
Torben Madsen,Socialdemokratiet,Odder Kommune,208
Morten Tranborg,Liberal Alliance,Fredensborg Kommune,208
Regitse Dioni Munksgaard,SF,Silkeborg Kommune,207
Kirsten Algren,Dansk Folkeparti,Aalborg Kommune,207
Nanna Nørholm,Radikale,Fredericia Kommune,207
Runa Friis Hansen,Enhedslisten,Hjørring Kommune,207
Aksel Stistrup Nurmisto,Liberal Alliance,Herning Kommune,207
Gitte Winther Jeppesen,Radikale,Lemvig Kommune,207
Ahmad Mansoor,Frie Grønne,Odense Kommune,207
Maria Liv Holck,L,Odsherred Kommune,206
Susi H. Bolander,Socialdemokratiet,Aalborg Kommune,206
Erik Filler Filthuth,Venstre,Holbæk Kommune,206
Ninna Møller,Socialdemokratiet,Horsens Kommune,206
Mikkel Bisgaard,Venstre,Mariagerfjord Kommune,206
Jette Damsø Henriksen,Socialdemokratiet,Sønderborg Kommune,206
Saime Bilen,Enhedslisten,Rødovre Kommune,206
Helle Blomsterberg,Venstre,Gribskov Kommune,206
Nicolai Niemann,Konservative,Rebild Kommune,206
Matilde Bjerregaard,SF,Skanderborg Kommune,206
Mia Linda Møller,Moderaterne,Næstved Kommune,205
Mogens Haugaard,Moderaterne,Stevns Kommune,205
Toke Kristensen,Radikale,Kerteminde Kommune,205
Lene Brix Kjelgaard Jensen,Konservative,Thisted Kommune,205
Patrick Lehto,Konservative,Tårnby Kommune,204
Nick Boye,Danmarksdemokraterne,Syddjurs Kommune,204
Steen Madsen,Socialdemokratiet,Lemvig Kommune,204
Dina Bredal,Socialdemokratiet,Silkeborg Kommune,204
Anders Johansson,Konservative,Svendborg Kommune,204
Dorthe Winberg,Konservative,Stevns Kommune,204
Rikke Weng-Ludvigsen,SF,Tønder Kommune,204
Kasper Bjerg,L,Gladsaxe Kommune,204
Charlotte Nielsen,Socialdemokratiet,Holbæk Kommune,204
Ann-Sophie Christensen,Alternativet,Odense Kommune,204
Poul Roesen,Konservative,Morsø Kommune,203
Birgitte Glifberg,Socialdemokratiet,Rødovre Kommune,203
Ulla Krag,Socialdemokratiet,Københavns Kommune,203
Tobias Harpsøe,SF,Høje-Taastrup Kommune,203
Gitte Wittorff,Venstre,Bornholms Regionskommune,202
Jan D. Andersen,Socialdemokratiet,Skive Kommune,202
Kaj Piilgaard Nielsen,Venstre,Middelfart Kommune,202
Jan Johansen,Socialdemokratiet,Kerteminde Kommune,202
Mette Schmidt Olsen,Konservative,Lyngby-Taarbæk Kommune,202
Ole Vad Hansen,Venstre,Varde Kommune,202
Thomas Brücker,Socialdemokratiet,Hillerød Kommune,202
Niels Peter Christoffersen,Socialdemokratiet,Mariagerfjord Kommune,202
Karen Inger Refslund Andersen,T,Tønder Kommune,202
John Brill Engkebølle,Danmarksdemokraterne,Guldborgsund Kommune,202
Jane Rishøj,Socialdemokratiet,Thisted Kommune,202
Lotte Rasmussen,Venstre,Greve Kommune,202
Carsten Dohrmann,Danmarksdemokraterne,Sønderborg Kommune,201
Helle Bonde Jensen,Konservative,Faaborg-Midtfyn Kommune,201
Anne Marie Christensen,L,Herning Kommune,201
Simon Bøtkjær Nielsen,Konservative,Høje-Taastrup Kommune,201
Kim Bach Hansen,Dansk Folkeparti,Horsens Kommune,201
Allan Pertti Frandsen,Socialdemokratiet,Fredericia Kommune,201
Lasse Hildingberg,Venstre,Fredericia Kommune,201
Anne K. Bøge Petersen,SF,Struer Kommune,201
Torben Johansen,Konservative,Næstved Kommune,200
Ole K. Larsen,Venstre,Guldborgsund Kommune,200
Birthe Harritz,Y,Viborg Kommune,200
Henrik Dalgaard,Konservative,Vesthimmerlands Kommune,200
Line Skipper,Enhedslisten,Silkeborg Kommune,200
Allan-Ivan Kristensen,Socialdemokratiet,Tårnby Kommune,200
Lars Berg,Venstre,Guldborgsund Kommune,199
Marc Melgaard,Venstre,Middelfart Kommune,199
Susanne Hjernøe,Radikale,Lyngby-Taarbæk Kommune,199
Martin Ditlevsen,Venstre,Fredericia Kommune,199
Jacob Holm,Alternativet,Odense Kommune,199
Thomas Vedsted,Liberal Alliance,Haderslev Kommune,199
Esben Tøttrup,Danmarksdemokraterne,Viborg Kommune,199
Daniel Sørensen,Venstre,Svendborg Kommune,199
Kirsten Skovgaard,SF,Kalundborg Kommune,199
Leif Rothe Rasmussen,Socialdemokratiet,Assens Kommune,199
Bøje Holmsgaard Lundtoft,Socialdemokratiet,Jammerbugt Kommune,199
Paw Hallandson,T,Guldborgsund Kommune,199
Thomas Rosenkrands,Venstre,Skive Kommune,199
Morten Bille,Venstre,Hillerød Kommune,199
Elisabeth Tejlmand,Radikale,Middelfart Kommune,199
Bent Hansen,N,Aarhus Kommune,199
Kasper Lindholm,Liberal Alliance,Vejle Kommune,199
Katrine Kildedal,Venstre,Rebild Kommune,199
Erik Kyed Trolle,Socialdemokratiet,Frederikshavn Kommune,199
Helene Maria Biendzus Jensen,Venstre,Vejle Kommune,198
Ulla Holm,SF,Samsø Kommune,198
Pia Elkær,Konservative,Thisted Kommune,198
Lone Sondrup,Venstre,Mariagerfjord Kommune,198
Charlotte Nellemann,Liberal Alliance,Tårnby Kommune,198
Per Knudsen,Dansk Folkeparti,Kolding Kommune,198
Tanja Møllebæk Knudsen,Venstre,Fredericia Kommune,198
Ida Agnete Storgaard Christensen,Enhedslisten,Kolding Kommune,197
Hans Hammann,Venstre,Odder Kommune,197
Pernille Kromann Sams,Moderaterne,Gribskov Kommune,197
Jan Pieler,Liberal Alliance,Middelfart Kommune,197
Cathrine Sinding,Venstre,Kalundborg Kommune,197
John Vangsgaard,Venstre,Struer Kommune,197
Daniel Tomicic,Frie Grønne,Københavns Kommune,197
Klaus Kildemand,Socialdemokratiet,Vejen Kommune,197
Thomas Søndberg Olsen,L,Guldborgsund Kommune,197
Nils Brøndumbo,Dansk Folkeparti,Vejen Kommune,197
Frederik Asgeir Berg,Radikale,Aalborg Kommune,197
Rikke Boje Kristensen,SF,Silkeborg Kommune,196
Anders J. Andersen,Socialdemokratiet,Vordingborg Kommune,196
Sadik Zeki Topcu,Socialdemokratiet,Ringsted Kommune,196
Sune Hybert,SF,Fredensborg Kommune,196
Jette Louise Larsen,Konservative,Rødovre Kommune,196
Almina Nikontovic,SF,Frederikshavn Kommune,196
Stine Rodahl Lassen,Konservative,Vejen Kommune,196
Jesper Steppat,Enhedslisten,Aarhus Kommune,195
Daniel Melgaard Jacobsen,Konservative,Helsingør Kommune,195
Nick Engmann Rehmeier,Radikale,Næstved Kommune,195
Allan Pedersen,SF,Vejle Kommune,195
Frederik Gordon Pedersen,N,Kalundborg Kommune,195
Lars Guldborg,Socialdemokratiet,Sønderborg Kommune,195
Tom Arnt Thorup,Venstre,Varde Kommune,195
Anders Jensen,Venstre,Viborg Kommune,195
Agnete Brandt Grann,Venstre,Norddjurs Kommune,195
Signe Meyer,Enhedslisten,Rudersdal Kommune,195
Kristian Christensen,Dansk Folkeparti,Herning Kommune,195
Heino Hamborg Gudmundsen,Socialdemokratiet,Aarhus Kommune,195
Jens Andersen,T,Middelfart Kommune,195
Peter Skousen,Liberal Alliance,Kolding Kommune,194
Morten Westergaard,Venstre,Helsingør Kommune,194
Frederikke S. Mortensen,Venstre,Stevns Kommune,194
Claus Laugesen,Danmarksdemokraterne,Viborg Kommune,194
Kim Jensen,Liberal Alliance,Halsnæs Kommune,194
Claus Christoffersen,Socialdemokratiet,Helsingør Kommune,194
Rikke Pedersen,Konservative,Aalborg Kommune,193
Charlotte Saxil,Konservative,Fredensborg Kommune,193
Lise Hogervorst,Enhedslisten,Lyngby-Taarbæk Kommune,193
Jannich Petersen,Venstre,Gribskov Kommune,193
Søren Gade,Socialdemokratiet,Favrskov Kommune,193
John Jørgensen,Socialdemokratiet,Middelfart Kommune,193
Lars Nissen,SF,Svendborg Kommune,193
Ismail Ibo,Socialdemokratiet,Sønderborg Kommune,193
Jan Riisager,Venstre,Fredericia Kommune,193
Torben Frost,Socialdemokratiet,Svendborg Kommune,193
Martin Lissner,Liberal Alliance,Odense Kommune,193
Søren Zohnesen,Venstre,Thisted Kommune,192
Karsten Fogde,SF,Odense Kommune,192
Heide Munk,L,Faaborg-Midtfyn Kommune,192
Elias Binggeli,SF,Gribskov Kommune,192
Louise Frilev,Venstre,Hjørring Kommune,192
Kristina Themsen,Venstre,Vordingborg Kommune,192
Brian Kjær,Socialdemokratiet,Frederikshavn Kommune,192
Niels Peder Ravn,Konservative,Københavns Kommune,192
Rasmus Melgaard,L,Helsingør Kommune,191
Jess Friis,Konservative,Ringsted Kommune,191
Knud Peter Wad,Konservative,Vejen Kommune,191
Anja Bihl-Nielsen,SF,Ballerup Kommune,191
Helge Friis,Socialdemokratiet,Halsnæs Kommune,191
Rasmus Christensen,Venstre,Morsø Kommune,190
Thomas Bjørn-Lüthi,Liberal Alliance,Sønderborg Kommune,190
Peter Sand,Venstre,Syddjurs Kommune,190
Frank Clausen,Liberal Alliance,Ishøj Kommune,190
Anders Glümer,Venstre,Allerød Kommune,190
Sara Julie Sørensen,Radikale,Københavns Kommune,190
Casper Hindkjær,Radikale,Herning Kommune,190
Santana Malling,Venstre,Favrskov Kommune,190
Hanne Bang Pedersen,Konservative,Ikast-Brande Kommune,190
Mette Hvid Brockmann,Radikale,Kalundborg Kommune,189
Maria Fromseier Kjærgaard,Socialdemokratiet,Bornholms Regionskommune,189
Søren Murmann Gotfredsen,Konservative,Vallensbæk Kommune,189
Karin Alsø,Socialdemokratiet,Furesø Kommune,189
Jonas Niemann,SF,Gentofte Kommune,189
Christian Skovbo Hvistendahl-Hansen,Danmarksdemokraterne,Egedal Kommune,189
Line Kraghede Jensen,Socialdemokratiet,Hjørring Kommune,189
Peter Svane,Venstre,Vejen Kommune,189
Christina Hvass Hansen,Socialdemokratiet,Holbæk Kommune,189
Dennis Egelund Christensen,Venstre,Nordfyns Kommune,189
Morten Lyager,Socialdemokratiet,Egedal Kommune,189
Peder Hansen,Konservative,Langeland Kommune,189
Jane Koller,Venstre,Jammerbugt Kommune,189
Brian Vittrup,Venstre,Kolding Kommune,189
Sune Raunkjær,Venstre,Halsnæs Kommune,188
Andreas Otte,Enhedslisten,Ringsted Kommune,188
Henriette Fosselius,SF,Hillerød Kommune,188
Jess Mikkelsen,Dansk Folkeparti,Viborg Kommune,188
Joachim Holten Palvig,Socialdemokratiet,Gentofte Kommune,188
Per Flor,Dansk Folkeparti,Ringsted Kommune,188
Lene Svendborg,L,Gladsaxe Kommune,188
Morten Melchiors,Konservative,Københavns Kommune,188
Mikkel Skovgaard,Enhedslisten,Københavns Kommune,188
Christian Weichel,Konservative,Helsingør Kommune,188
Neel Rudebeck,Venstre,Tønder Kommune,188
Ole Dale,Danmarksdemokraterne,Syddjurs Kommune,187
Knud Borck,Konservative,Ærø Kommune,187
Elias Nybye,Liberal Alliance,Greve Kommune,187
Børge Jensen,Venstre,Vejen Kommune,187
Søren Hallum-Andersen,Socialdemokratiet,Tårnby Kommune,187
Mads Madsen,Danmarksdemokraterne,Aarhus Kommune,187
Mogens Bay,Venstre,Jammerbugt Kommune,187
Mohammed Sobhie,Socialdemokratiet,Gladsaxe Kommune,187
Gert Jørgensen,Konservative,Sorø Kommune,186
Lars Gerner,Venstre,Syddjurs Kommune,186
Anders Modey,Venstre,Rudersdal Kommune,186
Brian Øhrstrøm Hansen,Dansk Folkeparti,Vejle Kommune,186
Louise Herløv,Socialdemokratiet,Vordingborg Kommune,186
Bo Jul Nielsen,Socialdemokratiet,Gribskov Kommune,186
Søren Hansen,Radikale,Langeland Kommune,186
Sidsel Brøndberg Simonsen,SF,Rebild Kommune,186
David Holmberg,Konservative,Mariagerfjord Kommune,186
Søren Littau Christiansen,Liberal Alliance,Esbjerg Kommune,186
Jens Jacobsen,Konservative,Sorø Kommune,186
Nicky Lebæk,Venstre,Nordfyns Kommune,186
Pia Dam,Socialdemokratiet,Svendborg Kommune,186
Lasse Blichfeldt,SF,Struer Kommune,186
Morten Schou Jørgensen,Konservative,Vallensbæk Kommune,186
Cille Egholm,Venstre,Københavns Kommune,186
Jens Muff Hansen,SF,Silkeborg Kommune,186
Claus Nielsen,Konservative,Viborg Kommune,186
Allan Munk Nielsen,Konservative,Billund Kommune,186
Janni Baad Pedersen,Danmarksdemokraterne,Lolland Kommune,186
Mette Kristensen,SF,Odder Kommune,186
Peter Lillebæk,Venstre,Morsø Kommune,186
Erik Særkjær,Socialdemokratiet,Favrskov Kommune,185
Lærke Lysdal,Radikale,Odense Kommune,185
Bent Riis,Socialdemokratiet,Horsens Kommune,185
Heidi Bundgaard,N,Varde Kommune,185
Kristian Tanderup,Venstre,Fredensborg Kommune,185
Thomas Markussen,Kristendemokraterne,Herning Kommune,185
Henriette Christensen,Socialdemokratiet,Struer Kommune,184
Morten Thoregaard,Konservative,Rødovre Kommune,184
Henrik Jørgensen,Moderaterne,Hillerød Kommune,184
Yilmaz Yildiz,SF,Københavns Kommune,184
Allan Buch,Socialdemokratiet,Middelfart Kommune,184
Mette Hviid,Socialdemokratiet,Gladsaxe Kommune,184
Henrik Torning,Konservative,Høje-Taastrup Kommune,184
Søren Thomsen,Enhedslisten,Silkeborg Kommune,184
Helle Ingemann Petersen,Dansk Folkeparti,Holbæk Kommune,184
Louise Smith Jensen,SF,Jammerbugt Kommune,184
Anders Kaysen,Venstre,Silkeborg Kommune,184
Thomas W. Olsen,Konservative,Læsø Kommune,184
Liva Høybye,Socialdemokratiet,Aalborg Kommune,184
Søren V. Jensen,Venstre,Lemvig Kommune,184
Knud Nielsen,Dansk Folkeparti,Herning Kommune,183
Malene Prehn,Socialdemokratiet,Fredensborg Kommune,183
Henrik Christensen,Konservative,Furesø Kommune,183
Kalle Johannes Rose,Radikale,Gentofte Kommune,183
Jens Gantriis,Venstre,Kerteminde Kommune,183
Morten Colbert,L,Ikast-Brande Kommune,183
Monika Lillelund,SF,Billund Kommune,183
Nanna Lindegaard,Enhedslisten,Svendborg Kommune,183
Marlene Nyberg,Dansk Folkeparti,Tårnby Kommune,182
Rolf Eg Klint Sørensen,Venstre,Holstebro Kommune,182
Torben Klitmøller Hollmann,Socialdemokratiet,Lolland Kommune,182
Kim Levisen,Socialdemokratiet,Jammerbugt Kommune,182
Jørn Dohrmann,J,Kolding Kommune,182
Pernille Buhelt,Socialdemokratiet,Hjørring Kommune,182
Kristoffer Kromand,Konservative,Bornholms Regionskommune,182
